ID,Phone Number رقم الهاتف,Company الشركة,latitutde,longitude
64275925,122-192-1944,MediumSeaGreen,"آل علي, آل جعفر and شربتلي",50.3839945,120.971472
79445290,457.037.0727,GoldenRod,آل خضير-حجار,-24.5900235,104.698035
30654563,(300)805-1478x5272,LightSlateGray,آل رفيع-الحكير,-67.343054,121.733852
17112734,+1-314-997-6772x801,Peru,آل صفوان-أبو داوود,-66.6846025,-134.859569
72976685,+1-418-048-0814,AntiqueWhite,"آل قصير, أبا الخيل and آل الشيخ",35.8096615,28.966766
45484865,048-422-1661,MediumSlateBlue,أبو داوود PLC,51.0626885,132.904799
01719390,(640)620-0129,PeachPuff,آل علي-العجلان,-85.8377085,38.520158
86505413,344.511.1449,Gray,الدباغ Ltd,26.221430,66.140867
76627927,3544095925,PaleGoldenRod,الحكير Inc,76.091342,91.835549
67831197,001-064-870-3958,GhostWhite,"آل عواض, المغاولة and الشايع",-37.9174875,56.789203
62315104,343.297.7492x0058,MediumBlue,الجفالي Inc,65.873632,-40.532089
40722931,001-773-387-7773x69093,ForestGreen,العجلان Group,88.2793115,121.876665
49146028,846-988-0643x49381,SlateGray,"آل بن ظافر, الخرافي and آل عطفة",-60.229142,-125.291757
72754382,779.698.6379,SaddleBrown,العجلان-آل رفيع,-4.052333,122.987065
66759416,319-751-0121x3770,Navy,أبو داوود LLC,-56.365631,-151.885501
56266979,651.112.0888x69382,Bisque,بقشان and Sons,10.0807935,86.238720
44716189,(789)924-3707x6368,DarkGray,"آل معيض, آل عايض and آل خضير",87.7798175,-50.007968
22154156,001-213-265-6532x5682,Black,آل قصير-آل صفوان,13.790802,-35.402003
40692661,+1-205-180-2033,DeepSkyBlue,"مهنا, شربتلي and آل عايض",-40.587746,50.510710
09934979,(945)576-2229,RoyalBlue,مهنا-آل صفوان,79.828198,95.959080
84661807,(412)795-9592x2330,Indigo,"العليان, المغاولة and بقشان",26.6024875,77.923626
92044043,001-333-012-2528,MediumOrchid,فصيل and Sons,-1.4391415,-152.225884
36350704,001-627-122-0956x23759,OrangeRed,آل بن ظافر LLC,-78.279037,-126.303362
57625973,+1-746-726-1984x09765,Snow,"أبا الخيل, الجابر and العجلان",-88.8629655,9.583562
91539014,029.292.9225x477,Coral,آل علي and Sons,-8.1180855,-114.783768
70614640,353.724.7514,Gray,أبو داوود-الجفالي,13.268805,-2.050293
65755525,227.374.3160x78299,LawnGreen,آل حسين PLC,30.6850335,77.495454
55804189,+1-441-954-5159x85767,Fuchsia,العليان-آل علي,4.8948945,-33.734994
99270988,370-771-1904x2295,DarkGreen,"شربتلي, حجار and أبا الخيل",20.821239,-140.293123
37233068,907.971.5943x3256,SandyBrown,حجار LLC,-24.194640,158.543823
66576365,003.364.2774,Teal,"المهيدب, آل خضير and آل جعفر",41.225312,-1.135717
49152678,8774810771,LightBlue,بن لادن-الخرافي,28.704479,-81.690562
87587661,001-277-251-3486,LightSkyBlue,آل علي-آل الشيخ,70.4533865,78.229740
76633973,913-963-5135x0968,White,"شربتلي, آل حسين and آل عطفة",-66.8837445,57.562222
38486814,001-888-850-6299x012,Orange,الراشد-آل سلطان,-21.1629695,45.455534
20066024,001-782-284-1316,LimeGreen,آل معيض-بقشان,-60.0593665,163.729570
07416422,612-724-3760,Lime,"العجلان, العليان and آل معيض",33.0760755,9.602050
04719397,245.805.6129,DarkOliveGreen,آل سعود Group,-35.4880165,119.072735
62212724,387-739-2182x150,DarkGoldenRod,آل قصير-الراشد,83.6212315,97.308528
87448825,(247)875-0943x959,Violet,"آل سلطان, آل محمد بن علي بن جماز and الجفالي",-83.915999,121.140220
03300305,3709243429,LawnGreen,"آل سعود, آل رفيع and الشايع",36.930300,-65.237248
48797160,140-648-5183,Aqua,بقشان-العليان,30.914873,142.025715
43886555,001-276-972-6799x772,Plum,آل رفيع-آل رفيع,0.6086425,96.901416
75656027,722-792-9949x179,WhiteSmoke,"أبا الخيل, فصيل and آل عطفة",-58.8735865,-152.626902
65982983,+1-546-332-6868x657,Khaki,شربتلي Ltd,21.8808885,14.589367
47540729,494-721-2248x0832,DarkSlateBlue,بقشان Ltd,-72.084740,-32.190053
53952998,824.836.4680,LightGray,آل جعفر PLC,-9.338163,105.664386
02845333,(265)099-3548,Tomato,"آل بن ظافر, آل سعود and آل عواض",16.332323,97.365970
47067974,(844)027-2382x124,LavenderBlush,آل صفوان Group,-26.743775,-121.752415
88761060,+1-001-149-9586x633,Crimson,"المهيدب, العليان and الحكير",33.979645,160.241766
54267152,915.599.1112x2574,Silver,"الخرافي, آل خضير and الجفالي",83.3239595,-82.018018
84848406,001-695-980-3032,LightCyan,بقشان-آل رفيع,-30.039552,165.438662
69118364,+1-711-806-5336x52611,DarkKhaki,آل جعفر-آل مقطة,75.7021415,145.419965
86894890,(269)964-0610x300,DarkBlue,حنبولي-آل خضير,37.422421,77.208517
83985027,001-362-701-8517,DeepPink,"آل عطفة, شربتلي and آل سلطان",22.633574,153.662117
64465708,210-215-4780,Khaki,الجابر-شربتلي,8.322546,102.118056
67617258,(106)000-4971x2276,NavajoWhite,"حجار, بن لادن and بقشان",40.3189545,37.697489
39465597,(645)833-6162x595,HoneyDew,"المشاولة, المهيدب and حنبولي",71.6614055,-154.114092
33596518,830.668.0352,Green,آل الشيخ-آل صفوان,30.730536,9.523120
88577074,902-787-0485,OliveDrab,آل سلطان-آل جعفر,-25.3963785,58.158620
58387122,942.139.2119x9186,LightGreen,"بقشان, فصيل and أبا الخيل",88.688155,-88.532705
41907511,450.977.6570,Pink,العجلان-آل سلطان,53.763703,141.573319
45370915,888-388-2883,CornflowerBlue,بقشان Inc,63.389863,171.764085
02199825,(569)402-5265x10900,Ivory,حنبولي LLC,78.3458905,-48.840228
83365201,+1-668-298-0541x822,Teal,أبا الخيل-الراشد,-42.3528755,29.766601
42589662,107-274-9167,Navy,آل رفيع and Sons,-25.391192,-142.044427
33162386,+1-562-635-4227x3237,LightBlue,الجابر Group,70.912643,-53.786180
05872091,(511)792-7231x9656,GoldenRod,آل معيض Group,77.7163915,-32.494228
39254627,766.241.5213x281,SandyBrown,فصيل and Sons,-66.838476,-31.418968
67221158,491.455.7266x061,HoneyDew,آل خضير Group,58.9147575,-24.148085
35027133,432-400-3831,DarkRed,"حنبولي, آل خضير and آل حسين",-43.463919,160.324486
97337300,001-484-528-7020x937,Indigo,بن لادن-فصيل,60.3542445,-126.878013
58569283,557.733.9988x21935,DarkTurquoise,العجلان-آل الشيخ,-60.8184825,98.884251
17067584,(047)658-6926x01051,DeepPink,"آل عواض, أبو داوود and شربتلي",-72.6729475,-97.796767
94241808,0556961062,LightSteelBlue,الجفالي Group,-64.8802705,-106.533553
70322132,522-189-3866x8356,LightGoldenRodYellow,"آل بن لافي, آل بن لافي and آل علي",1.366492,35.895652
70166644,(258)917-6935,HotPink,آل جعفر Ltd,9.472635,95.233926
50851195,001-570-143-8820x635,Khaki,آل خضير Ltd,67.680827,117.173093
51072407,321-088-9695x491,LightSeaGreen,"آل العسكري, الحكير and آل عواض",53.4683725,19.531950
24752374,(048)942-2093,Beige,آل عايض PLC,84.3301655,-131.762536
02148717,(730)564-9142,AliceBlue,"أبو داوود, الجفالي and أبو داوود",3.7892325,-44.446840
94967593,719-881-3398x3563,DarkCyan,الدباغ Ltd,61.0558935,126.265806
13377151,001-024-372-4715x48707,MediumAquaMarine,"الشايع, المغاولة and آل بن لافي",76.516728,-113.220142
61061835,(276)456-6425x8382,GoldenRod,بن لادن-آل علي,-26.002876,-91.767293
82174712,001-135-102-5635,Purple,آل الشيخ Ltd,78.212111,-168.512428
58284568,001-978-762-7829x9015,DarkBlue,المشاولة-آل سلطان,0.907768,-124.541088
89027400,001-872-688-1523x0720,Teal,آل الشيخ Ltd,74.378559,-109.580806
47481473,904.209.8499x00268,Crimson,"آل العسكري, آل معيض and آل عطفة",17.3050415,96.268215
97026518,+1-703-872-7909x1176,DarkRed,"آل محمد بن علي بن جماز, آل سعود and آل جعفر",79.0694405,110.192436
79913430,768-502-6984,Plum,المهنا LLC,2.6220885,-18.047847
29082841,(395)366-5870,PaleGreen,"آل معيض, آل سعود and المهيدب",-74.648939,-100.840403
86102674,001-797-285-2915,LightSalmon,الراشد PLC,34.781828,-46.394627
98476886,(943)844-9125x81122,LightCyan,"الجابر, حجار and فصيل",12.5567715,132.331573
72400159,6044712131,Sienna,"العقيل, العجلان and الخرافي",54.486580,-81.930132
45596520,001-850-766-7226,MediumTurquoise,"آل رفيع, كانو and آل عواض",-11.894264,153.253983
02185309,(154)495-3335x0839,LightYellow,المغاولة LLC,47.0353015,-4.301314
73793991,904-170-1276x4295,MediumSeaGreen,العليان and Sons,52.146577,81.147847
22115119,+1-490-273-2192x9700,MediumPurple,"العقيل, الخرافي and آل سلطان",-23.4106845,-77.698400
58797761,898-363-3098,Olive,الحجار-آل سلطان,-52.652846,-123.639889
73524601,438.449.1114x53719,MediumSlateBlue,فصيل Inc,64.977633,34.064736
22797933,594.344.7644x1618,Yellow,"العقيل, آل رفيع and الحكير",50.7631855,-165.806097
77193308,001-816-127-4789x9969,DarkOrange,أبو داوود-المهيدب,35.8144455,-126.577439
58182901,654.008.4762,Aqua,مهنا Inc,54.7676185,-42.544864
37997328,922.833.8364,LightSkyBlue,"فصيل, أبو داوود and العجلان",31.293939,-63.403792
85818941,001-734-271-4934x8018,Teal,المهنا Inc,22.782215,125.219945
77598950,(551)232-1993,MediumPurple,"آل سلطان, آل عايض and حجار",-38.0796815,-66.983154
17770613,0963546308,SlateGray,حنبولي-الحجار,-73.5679925,75.012522
87438130,(065)974-9615,PowderBlue,آل العسكري-الدباغ,-5.2923145,-103.883112
46167064,585.255.7353x8244,GreenYellow,آل قصير-الخرافي,9.7813575,141.647725
98248612,001-753-880-5807x11015,AliceBlue,"آل قصير, مهنا and آل الشيخ",-89.438775,39.690338
16686366,465-243-9056x93342,Bisque,"آل معيض, مهنا and شربتلي",-85.617318,-103.303897
75228156,001-467-917-4675x993,Orange,"آل معيض, الجابر and آل رفيع",5.2954305,70.476641
00242783,+1-869-068-3030x2898,MintCream,الجفالي Ltd,75.457730,95.127372
76661303,+1-411-324-7675,OliveDrab,"أبا الخيل, الحجار and آل بن ظافر",7.674930,-84.147266
30919037,931-910-6038,Cornsilk,المهنا-الدباغ,80.7939225,112.695491
84593306,001-477-440-4038,Tomato,الخرافي LLC,82.974938,16.655286
56878554,570.269.0876,AliceBlue,العليان and Sons,-41.1733825,89.940844
09261822,001-799-062-0296x55522,Plum,"الحجار, المشاولة and آل مقطة",42.339872,-10.853173
80945772,001-142-257-7751x08312,Tan,آل رفيع Group,-63.303500,30.409248
36345519,+1-650-632-3319x9975,SandyBrown,المغاولة-الشايع,51.7501625,-19.619975
60672612,(322)645-3674,LightCoral,"المهنا, آل خضير and شربتلي",43.115839,36.995541
81248100,153-428-1718x100,MidnightBlue,"شربتلي, المهنا and بن لادن",81.398584,134.337629
54110410,885-040-8845x130,Aquamarine,آل مقطة-شربتلي,12.3726225,-125.678509
84110879,4795779338,Bisque,"آل جعفر, آل رفيع and العقيل",49.412359,-111.324926
51517359,1919181685,LightSteelBlue,"آل قصير, آل سلطان and المهنا",-35.4185995,171.638001
66963028,001-605-565-3822x611,BlueViolet,"العجلان, حنبولي and بقشان",78.7442865,131.989475
47223899,+1-118-363-9795x09120,PaleVioletRed,"الخرافي, مهنا and آل علي",-13.954897,105.645816
80392620,001-776-245-8231,DarkGray,أبو داوود-آل خضير,20.1609585,-38.315522
77625786,+1-819-370-9675x9910,MediumTurquoise,"الحجار, أبا الخيل and المهيدب",17.088305,-55.680003
37746186,1490463671,LightGray,"الخرافي, الحكير and حنبولي",-58.5711545,-51.409523
60068439,001-778-993-1974x375,RosyBrown,"العليان, آل بن ظافر and آل الشيخ",63.856381,16.028702
32330434,(016)736-0864x329,LightBlue,بن لادن-آل بن لافي,-42.6685495,-101.718884
79958509,(526)858-0275x298,Linen,"الجابر, الراشد and أبو داوود",60.537152,42.434744
91414403,(314)908-0570,PapayaWhip,بن لادن-آل حسين,30.560904,78.005023
19277509,038.574.5809,AliceBlue,"أبو داوود, بن لادن and العقيل",8.187552,-21.401101
65231388,(166)782-5819,Beige,آل علي Ltd,7.661577,141.880983
71295404,001-307-286-3645x177,OliveDrab,"آل عايض, الجفالي and المهنا",68.138484,14.563171
72038109,+1-497-051-9603,DarkSalmon,"فصيل, آل رفيع and مهنا",-42.838975,-34.943122
22728494,001-148-600-1395x11661,Crimson,آل العسكري-آل رفيع,-22.526966,136.140760
33253909,030.546.7914x8978,HoneyDew,الحجار-كانو,-18.4486045,11.632427
84422927,001-081-458-7307,SaddleBrown,"حجار, المغاولة and شربتلي",18.3844815,96.531440
92854611,(541)349-0475,DarkCyan,الجفالي-آل علي,88.896840,-87.661375
38253454,069.995.7773x74688,Azure,آل عطفة-أبا الخيل,3.140103,-45.145750
31662123,622.890.8996x35177,LightSkyBlue,"آل حسين, العليان and الجابر",64.7231255,-84.106380
12123469,6365331252,Khaki,"حنبولي, العليان and آل قصير",-15.2988795,-49.663502
00826358,302.398.0664x012,Linen,آل معيض Inc,62.787181,-51.484487
58507254,+1-369-834-6553x413,DarkGray,آل بن لافي Ltd,30.731021,106.170109
00117425,001-870-399-4650x5271,BlanchedAlmond,الراشد-حنبولي,-10.0197755,-171.057328
08689948,(846)820-8262x6399,Aquamarine,المغاولة LLC,-25.371312,78.855059
77149732,729.339.4472,SaddleBrown,آل قصير Group,11.9897245,38.646867
53850294,001-412-578-2987x80696,DarkOrange,المهنا and Sons,-5.668211,16.909890
81728572,0703883187,DeepPink,"آل علي, آل خضير and أبا الخيل",-47.5915785,62.427228
18892468,051-489-5397x6949,LightCyan,أبو داوود and Sons,67.765541,-41.778615
04983859,021-364-7796,LightSkyBlue,فصيل LLC,78.291312,-52.608856
27450666,(120)014-0963,Fuchsia,بن لادن-العجلان,-32.423165,77.383923
89279540,001-426-550-3839x783,AntiqueWhite,بن لادن and Sons,39.007898,116.306231
23532274,159.735.4564,Indigo,"آل بن ظافر, آل العسكري and آل معيض",57.5969465,87.890645
20393809,978.413.2518x075,LemonChiffon,الشايع Ltd,29.9924225,38.500125
39264572,+1-960-230-7991,Bisque,"آل حسين, آل الشيخ and مهنا",73.723874,47.925035
53865014,+1-677-043-9991x75425,FireBrick,أبو داوود-آل عطفة,66.4472815,-73.315121
48107730,+1-472-685-6934x235,Indigo,العجلان-الجفالي,38.4459065,36.877529
04824473,5769312183,DarkCyan,المشاولة PLC,27.7583565,15.490982
54689695,328.316.3626,Cyan,أبو داوود-الراشد,4.164193,-86.281851
35830085,001-922-882-5866x6695,Brown,الراشد Inc,-39.9701725,-88.287686
08445322,001-479-762-3641x20300,LightSeaGreen,آل بن لافي Group,-70.3169915,-18.319472
75787035,5310035296,LightCyan,آل سعود-شربتلي,-82.2713525,-34.851466
10135426,001-213-729-9129x33314,Salmon,"آل عطفة, آل عايض and الجفالي",-48.5910345,-97.096935
19571577,0044093509,Maroon,آل رفيع PLC,26.399869,125.515858
03723593,+1-496-537-3713x1290,DarkKhaki,آل سلطان-حجار,80.264614,-34.885730
70514520,729-623-5649,AntiqueWhite,"آل بن ظافر, آل علي and المهنا",29.817335,36.940397
25949438,631.901.1366,LightGreen,"آل سلطان, آل معيض and آل صفوان",79.226402,-50.850801
99004422,+1-462-693-8788x509,Chartreuse,"آل الشيخ, آل عطفة and العجلان",-22.5166485,-135.495206
18917215,+1-128-336-3022x855,DarkGreen,أبا الخيل LLC,81.678263,32.430739
31073363,307.152.9819x477,DarkOrchid,آل بن لافي-آل مقطة,-21.119307,106.881758
36988228,957-510-7218x59723,Violet,المغاولة-بقشان,-76.9910935,144.805167
90142154,331-203-6936x99290,MediumAquaMarine,"مهنا, آل قصير and أبو داوود",76.617168,-9.024293
80799375,541-846-7544x1388,SlateBlue,آل بن ظافر-آل خضير,-14.2425225,-138.662723
69135880,+1-119-357-3917x401,DarkTurquoise,آل سلطان-الجفالي,21.9971985,13.176197
42206491,4263324385,SlateBlue,"الدباغ, الجفالي and آل مقطة",-21.4819515,12.335624
25785524,(737)116-5451x5641,LightSeaGreen,كانو-آل مقطة,51.818229,-14.761268
80340591,026-114-3741,DarkGoldenRod,شربتلي-آل عايض,-50.678989,165.654833
00704021,546-597-3479x786,PapayaWhip,"العجلان, أبو داوود and حنبولي",-82.616180,-152.531198
64411200,416-676-1789x3185,SpringGreen,آل جعفر LLC,-88.249278,-61.318705
42785743,001-917-477-0291,Blue,"آل بن ظافر, المهيدب and أبو داوود",-62.650983,-17.533057
40227795,(943)009-8786,Silver,"فصيل, آل قصير and آل صفوان",-14.1193635,140.265180
64913841,+1-520-046-6830x9624,GreenYellow,العليان-آل صفوان,-24.3324665,51.284182
63214024,9613767056,ForestGreen,"آل صفوان, الدباغ and حنبولي",-53.320175,19.434004
72890868,001-252-426-7686x3488,DarkSlateBlue,"آل رفيع, آل بن ظافر and آل رفيع",-68.5163525,-92.829053
80074458,+1-530-832-2991x0084,CornflowerBlue,أبو داوود PLC,-18.8628665,176.514631
31478694,119.783.5881,SeaGreen,"بن لادن, مهنا and العليان",-67.263910,-133.023324
11811480,001-349-982-1674x624,AntiqueWhite,"آل جعفر, آل عواض and آل قصير",4.919326,111.426111
18086898,(226)134-1040x7977,OldLace,"مهنا, حنبولي and بقشان",-19.0169235,43.512378
37193911,(661)696-6443x136,MistyRose,"آل عطفة, آل صفوان and الشايع",-78.6945945,-143.734066
30061446,478.933.1948,DarkGray,الشايع-حنبولي,56.8558915,65.429694
92131330,3880210292,Aqua,آل جعفر and Sons,0.415050,135.145849
24861250,+1-917-664-1911,Navy,آل عايض-أبو داوود,68.1400245,-38.935117
91914422,(199)944-3409,LemonChiffon,آل جعفر LLC,64.032545,-165.610873
28668749,+1-090-858-1957,SpringGreen,"آل علي, الخرافي and آل سلطان",-73.789610,-161.474211
75138134,493.570.4993x131,LavenderBlush,"آل مقطة, آل بن لافي and أبو داوود",85.419108,-65.283563
16587434,171-308-1929x7045,RosyBrown,"الخرافي, أبو داوود and آل الشيخ",61.1250935,40.899071
43730032,141.333.5697,LawnGreen,"شربتلي, شربتلي and آل رفيع",-1.1758085,-105.207061
23037496,+1-816-553-7300x972,PowderBlue,المشاولة and Sons,-70.1489685,-40.520583
53981516,001-689-401-2448x16750,MediumAquaMarine,المهنا-آل علي,58.5765975,-31.269493
29893614,001-466-343-8502x53854,Green,آل محمد بن علي بن جماز Group,-22.9417285,131.890288
96976456,774-989-4645x18062,Cornsilk,آل صفوان LLC,79.2795105,-137.883215
30942769,732.658.2279x383,SeaGreen,"آل رفيع, آل بن لافي and الجابر",-44.350316,50.890649
93612753,001-096-579-0913x349,GoldenRod,الخرافي-المهنا,23.6745645,-70.365153
30399099,144-165-4224x8209,Sienna,فصيل Group,51.643673,29.164284
01775952,001-238-855-6252x53971,PeachPuff,الحجار Inc,17.1789845,-67.917567
49953367,706.045.9888,Lavender,المهيدب-الراشد,-21.440712,-110.672160
90458293,307.694.8724x078,Gold,"المهيدب, فصيل and آل عواض",-8.682742,8.928303
55416047,529.172.5217,MediumBlue,"حنبولي, حجار and آل محمد بن علي بن جماز",12.507409,12.710648
45325458,850.121.7594x80071,Thistle,آل عايض Group,37.6550535,-178.067615
03321560,639-127-2630,BlueViolet,الحكير-الراشد,-44.067114,125.612368
83340017,396-000-8699,SlateGray,الدباغ LLC,25.5587405,-98.900552
87081329,001-542-329-7272x739,DodgerBlue,كانو Ltd,-80.8627305,-11.958643
37729875,(059)513-4988x9428,Green,أبا الخيل-آل الشيخ,65.224924,5.006238
24228701,692.536.3765,DarkOliveGreen,"أبو داوود, كانو and مهنا",-6.2760345,88.031872
99425425,747.305.7053x19114,LawnGreen,آل عايض Group,-7.179672,-168.384131
60802538,(606)584-8073x1506,Olive,"الحجار, آل عواض and أبو داوود",10.9068415,15.844142
02560748,277-965-9481,GoldenRod,حنبولي and Sons,-63.354981,-125.817244
76209970,+1-651-698-0295x692,SteelBlue,العجلان Group,-56.1014295,170.352656
99472856,+1-683-338-5331x8050,WhiteSmoke,أبا الخيل-كانو,51.8236015,-26.998230
43399673,960-518-8382,Linen,الجفالي-آل علي,-17.7160255,-2.585015
54522190,001-580-167-6850x094,Navy,الخرافي-بقشان,36.236257,-89.548585
63687637,192-695-1977x932,Cyan,"الجابر, آل معيض and المهيدب",31.159642,79.442443
97000365,690.509.4998x6683,Green,بن لادن Group,41.312679,2.686329
90133176,+1-877-697-2518x713,LightCoral,آل جعفر LLC,77.624789,104.350947
37357313,+1-048-905-3116x004,LightSkyBlue,آل بن لافي and Sons,30.2189265,106.557283
65593158,001-339-360-9293x573,LightPink,آل قصير-آل معيض,-34.874483,-91.180158
10469118,148-620-3436,Plum,آل مقطة-حجار,-16.0759095,-45.702808
79042703,675-893-3112,PapayaWhip,"العليان, الجفالي and الحجار",1.8444555,36.412546
33963570,(034)196-2236x260,Tan,المهنا-آل مقطة,-52.1817055,2.660809
00331951,001-170-648-8697x1275,LightSlateGray,أبو داوود and Sons,-7.969314,-166.153598
10985045,(053)009-6736x204,SeaShell,آل مقطة-آل العسكري,31.600194,-88.934928
97616597,334-739-0594x357,BurlyWood,حجار PLC,19.133615,102.191223
34683040,+1-770-015-3468,MediumAquaMarine,"آل رفيع, آل سلطان and آل محمد بن علي بن جماز",28.8195635,130.045397
20535780,424-644-8332x6364,LightCyan,آل مقطة Group,3.9273995,-142.710645
57735047,061-879-8557x10274,Magenta,"المهنا, آل الشيخ and العجلان",65.4354155,36.892749
11904809,0883131251,MediumSpringGreen,آل عطفة-العجلان,-24.456867,-104.739607
97951551,029-278-4399x077,Aquamarine,كانو-آل سلطان,71.2100065,-88.832318
70240115,+1-667-914-4970x06873,SeaShell,"آل سلطان, الجفالي and الحكير",21.972143,152.069924
95523750,(440)905-6090x5676,Green,الدباغ Ltd,19.812994,174.280513
83111808,244.372.9326x124,CornflowerBlue,أبو داوود-آل محمد بن علي بن جماز,85.7387945,122.770945
69814235,259-751-6682x02266,OldLace,العقيل LLC,83.640836,93.023703
93140515,001-521-109-3402x8591,Sienna,العجلان-العليان,-33.1835825,15.281390
49484786,759-783-0740x656,MidnightBlue,آل علي-المشاولة,-85.5385465,-70.216353
72437728,130-735-2792x905,BurlyWood,"آل بن لافي, العليان and العقيل",54.0759205,69.095938
02819327,001-391-013-0285x19492,SeaShell,العقيل PLC,4.5340975,56.560998
57973371,8314587587,Chocolate,"آل الشيخ, آل سعود and آل عطفة",-44.4786805,-111.210236
20331450,001-623-949-4468x1016,BlanchedAlmond,"آل جعفر, مهنا and أبا الخيل",-55.564438,156.788954
78735224,001-263-894-5858x195,Violet,آل العسكري-الشايع,-56.826812,-73.967685
86378147,001-166-565-0091x9558,Chartreuse,"بن لادن, آل بن لافي and العجلان",58.497659,71.228284
57930343,387-956-3747,LimeGreen,حنبولي Group,-39.1684725,177.394521
16022485,001-806-925-5021x71503,MediumTurquoise,آل العسكري Group,-3.991574,-61.374907
47386532,080-332-6348x367,Ivory,آل الشيخ and Sons,-6.4457955,-96.964196
36769766,001-892-533-8370x591,MediumOrchid,فصيل LLC,-49.558753,-72.155461
50728176,001-048-737-8333x910,Teal,آل قصير-آل قصير,56.439116,34.584024
22576262,(861)264-7639,MediumOrchid,"العقيل, المغاولة and آل بن لافي",-76.7271595,-145.583953
07592577,577.624.6554,LimeGreen,"الجابر, آل مقطة and الجفالي",-50.975730,159.523932
02618098,867.632.6538x0861,LightGray,فصيل-حنبولي,-89.250448,-88.212154
24771276,001-397-101-4892x6563,SandyBrown,العليان Inc,81.875517,1.225076
97622185,001-298-879-3449,LightCyan,"آل عايض, آل عواض and آل بن ظافر",-55.977180,79.769155
95924793,001-281-877-9044x742,Snow,"آل خضير, كانو and الخرافي",-60.8724575,66.366065
95301051,+1-381-527-2205x96834,RosyBrown,بن لادن-أبو داوود,29.013275,-160.850638
57755519,625.790.3333x4800,DarkTurquoise,الدباغ Ltd,38.0683215,-68.089496
91293794,+1-527-641-2571x6676,LightSkyBlue,العقيل Inc,-45.8555125,31.626846
16962729,(404)848-6753,GreenYellow,آل رفيع PLC,-3.899048,-84.550381
78188952,+1-170-499-2311x221,WhiteSmoke,آل خضير Ltd,48.295898,-65.095496
29669424,308.869.3920,LightGray,بن لادن-العجلان,55.536365,-37.537524
79451451,616-047-6021,Chocolate,بن لادن-بقشان,25.560823,-12.956691
31625555,(950)883-0626x19514,PowderBlue,آل قصير-العقيل,38.810379,95.455322
87770063,717.854.1416x00694,Orange,"شربتلي, آل خضير and فصيل",2.042176,7.428731
66504900,+1-979-927-6868x35734,SteelBlue,العليان-العقيل,-11.961758,-67.432128
97843740,(565)345-3819x1145,Violet,العجلان-الجابر,52.572848,-24.251157
40102139,001-655-705-2351,Magenta,المشاولة Group,-61.153140,125.791369
31921114,290.246.7523x4484,OrangeRed,"بقشان, العليان and آل عواض",-20.6673305,130.256302
32007763,715-758-2350,FloralWhite,آل قصير-آل علي,41.283467,32.943343
02816333,(251)619-3731x921,DarkGoldenRod,آل خضير and Sons,46.7169185,-174.312607
50585472,+1-724-978-4723x78255,DarkSalmon,آل مقطة Inc,-6.905833,-59.208594
74917389,(350)618-5512x485,SpringGreen,العليان-آل سعود,-51.1986995,71.191444
63308013,+1-624-731-1531x46327,LemonChiffon,مهنا-الجفالي,-28.7131525,172.026614
89454961,001-560-774-1174x315,Cyan,كانو Ltd,-62.314908,126.687719
79726986,001-175-212-7679x0218,DarkSeaGreen,العليان-آل عطفة,11.771738,137.450892
86878401,506-985-6860x157,PaleVioletRed,آل خضير and Sons,0.567546,-18.811224
86592420,901.546.5799,Tan,"أبا الخيل, آل محمد بن علي بن جماز and العليان",60.721961,66.080761
44784300,729-026-9003x897,Moccasin,"الحجار, آل صفوان and آل عايض",-83.296153,153.458216
89548585,+1-535-322-7342x4297,DarkSalmon,"آل حسين, آل سعود and حنبولي",-15.504901,63.678039
29976577,+1-953-552-0969x380,Red,"الجفالي, كانو and آل صفوان",30.934077,82.003771
74235605,529-934-8307,GreenYellow,"حجار, شربتلي and أبا الخيل",-13.9520365,-82.319734
03063415,+1-463-013-8515,Linen,"المهيدب, آل العسكري and الجابر",1.141697,175.096515
33339337,422.127.3730,Peru,العليان LLC,-66.224056,148.202956
24756211,5716067277,DarkGreen,"آل خضير, فصيل and العليان",-38.2576535,150.034583
67084753,001-957-324-6712x334,Tan,"آل الشيخ, آل معيض and آل محمد بن علي بن جماز",-68.8764205,111.419137
49751024,127.142.4576x5137,MidnightBlue,"المهنا, أبا الخيل and حجار",34.2559985,141.141038
40575537,(442)214-1590x445,PowderBlue,"أبو داوود, آل عايض and أبا الخيل",-2.6475545,9.853370
22140005,001-422-607-0353x8427,HoneyDew,بن لادن Group,9.794064,12.668158
02866314,+1-487-118-6106x0651,Gainsboro,آل صفوان PLC,-67.1144755,-14.490877
52135361,+1-925-857-1890x9451,Beige,آل مقطة Group,-28.8332145,-90.243799
52290435,+1-237-606-2746x3990,Black,"كانو, آل الشيخ and آل سعود",-77.0440285,-158.477497
64910994,4909564302,DodgerBlue,آل محمد بن علي بن جماز-آل معيض,-12.1650475,101.376828
07222313,(758)250-3384x2604,MintCream,آل عواض Inc,-26.770887,-127.277771
97222897,315.754.0564,Sienna,آل سعود-آل عطفة,-64.328032,-16.626144
84866943,560.794.8924,DarkSeaGreen,"آل صفوان, آل الشيخ and آل بن لافي",87.9642155,-174.616216
12298495,+1-674-017-2699x907,Pink,"الخرافي, آل قصير and آل حسين",-21.968276,50.842924
57676418,418-713-3776,Sienna,"أبو داوود, آل قصير and الجابر",7.770362,-111.059640
82348441,(667)571-5949x8043,LightGreen,مهنا Inc,87.069292,178.783569
